Model,Display Size,Refresh Rate,Pixel Density,Resolution,Display Technology,Internal Storage,RAM Memory,Proccesor,Cores,CPU Speed,Main Camera MPx,Main Camera Aperture,Front Camera MPx,Front Camera Aperture,Operating System,Max OS Supported Version,Type of Battery ,Battery Capacity,Battery Voltaje,,
Iphone X,"5.8""",60hz,458ppi,2436x1125,OLED,64GB,3 GB,Apple A11,6,2390MHz,12Mp,1.8,7Mp,2.2,iOS 12.2,12+,Li-oin Polymer,2716mAh,3.8V,,
LG K7 (EUROPE),"4.97""",60 Hz,295 dpi,720*1280,IPS LCD,9657 MB,2 GB,Snapdragon 212,4,1267MHz,8Mp,1.9,4.9Mp,1.9,Android 7.0(Nougat),Android 7.1.2(Nougat),Li-ion,2500mAh,4.120V,,
Huawei P20 Lite,5.84'',60 Hz,432 ppp,1080 x 2280,IPS LCD,32 GB,4 GB,Kirin 659,8,2362 MHz,15.9 MP,2,15.9 MP,2,Android 8.0.0 (Oreo),Android 8.x,Li-ion Polymer,3000mAh,4.029 V,,
Moto g6 play,"5.7""",60 Hz,282 dpi,720 x 1440,IPS LCD,25.56 GB,3 GB,Snapdragon 430,8,1094MHz,13Mp,2,8Mp,2.2,Android 8.0.0 (Oreo),Android 9.x,Li-ion,4000 mAh,3.762 V,,
Moto g6 play,"5.7""",60 Hz,282 dpi,720 x 1440,IPS LCD,25.56 GB,3 GB,Snapdragon 430,8,1094 MZ,13 Mp,2,8 MP,2.2,Android 8.0.0(Oreo),Android 9.x,Li-ion,4000 mAh,3.807 V,,
Samsung Galaxy J7 LTE,"5.5""",60 Hz,267 dpi,720x1280,Super AMOLED,11.82 GB,1.5 GB,Snapdragon 615,8,1500 MHz,12.8 MPx,1.7,5.0 MPx,1.7,Android 6.0.1 (Marshmallow),Android 6.0.1 (Marshmallow),Li-ion,3000 mAh,4.011 V,,
IPhone 6 Plus,5.5'',60 hz,326 ppi,1920x1080,IPS,64 GB,1 GB,Apple A8,2,1400 MHz,8 MPx,2.2,1.2 MPx,2.2,iOS,iOS 12+,Li-Ion Polymer,1810 mAh,3.8 V,,
Moto G6 plus,"5.9""",60hz,409ppp,1080x2160,IPS LCD,64gb,4gb,SnapDragon 630,8,2208MHz,12.2MP,,8.0MP,,Android 9.0 (pie),,Li-ion,3200mAh,3.783V,,
Moto G5 Plus,5.2'',60 Hz,424 ppp,1080 * 1920,IPS LCD,32 GB,2 GB,Snapdragon 625,8,2016 MHz,12.2 MP,1.7,5.0 MP,2.2,Android 8.1.0 (Oreo),Android 9.x,Li-ion,3000 mAh,4.146 V,,
Moto e5 Play,"5.32""",60 Hz,202 ppp,480x960,IPS LCD,16 GB,2 GB,Snapdragon 425,4,1401 MHz,8MPx,2,5.0 MPx,2,Android 8.1.0 (Oreo),Android 8.1.0 (Oreo),,2800 mAh,3.978 V,,
P20 Lite,"5.84""",60 Hz,432 ppi,1080x2280,IPS LCD,32 GB,4 GB,Kirin 659,8,2362 MHz,15.9 MPx,2,16 MPx,2,Android 8.0.0 (Oreo),Android 8.x,Li-ion Polymer,3000 mAh,4.240 V,,
Hawei Y5 prov1,"5.7""",60 Hz,282 ppp,720X1440,IPS LCD,12.12GB,2GB,MT6739WW,4,1495MHz,8MPx,2.1,5MPx,2.1,Android 8.1.0(Oreo),Android 8.1.0(Oreo),Li-ion,3020 mAh,4.079V,,
Moto g5,"5.2""",60 Hz,441 pdi,1080x1920,IPS LCD,24.59 GB,2 GB,Snapdragon 430,8,2016 MHz,13Mp,2.2,5 Mpx,2.2,Android 8.1.0(Oreo),Android 8.1.0(Oreo),Li-ion,2800mAh,3.714 V,, 
Samsung Galaxy S6 Active,"5.1""",59 Hz,576 ppp,1440 x 2560,Super AMOLED,32 GB,3 GB,Exynos  7420,8,2100 MHz,16 MPx,1.9,5.1 MPx,1.9,Android 7.0 (Nougat),Android 7.0 (Nougat),Li/ion,3500 mAh,4.043 V,,
Samsung Galaxy S7 edge,"5.5""",60 Hz,534 ppp,1440x2560,Super AMOLED,23.71 GB,4 GB,Snapdragon 820,4,2150 MHz,12.2 MP,1.7,5.1 MP,1.7,Android 8.0.0 (Oreo),Android 8.0.0 (Oreo),Li/ion,3600 mAh,3.858 V,,
Samsung Galaxy J2 Prime,"5""",60 Hz,220 PPP,540x960,PLS TFT,3.5 GB,1.5 GB,,4,,8 MPx,,5 MPx,,Android 6.0.1(Marshmallow),,Li-ion,2600 mAh,3.646 V,,
Iphone 6,"4.7""",60 Hz,326 PPI,1334x750,IPS,32 GB,1 GB,Apple A8,2,1400 MHz,8 MPx,2.2,1.2 MPx,2.2,iOS,iOS 12+,Li-Ion Polymer,1810 mAh,3.8 V,,
Xiaomi Mi 8 lite ,"6.26""",60 Hz,403ppp,1080*2280,IPS LCD,64 GB,4 GB,Snapdragon 660,8,2208 MHz,12.2 MP,1.9,24.8 MP,2,Android 8.1.0(Oreo),Android 8.x,Li-poly,3350 mAh,4.300 V,,
